TQ,DI
0.202739726,2
0.202739726,2
0.202739726,2
0.202739726,2
0.202739726,2
0.202739726,2
0.202739726,2
0.202739726,2
0.202739726,2
0.320547945,2
0.320547945,2
0.320547945,2
0.320547945,2
0.301369863,3
0.312328767,3
0.312328767,3
0.309589041,3
0.309589041,3
0.309589041,3
0.290410959,3
0.290410959,3
0.290410959,2
0.301369863,3
0.320547945,3
0.320547945,3
0.320547945,3
0.320547945,2
0.295890411,2
0.295890411,2
0.295890411,2
0.320547945,2
0.320547945,2
0.320547945,2
0.320547945,2
0.320547945,3
0.350684932,3
0.342465753,3
0.342465753,3
0.350684932,3
0.350684932,3
0.194520548,3
0.194520548,3
0.194520548,3
0.194520548,3
0.301369863,3
0.301369863,3
0.301369863,3
0.380821918,3
0.350684932,3
0.342465753,3
0.342465753,3
0.342465753,3
0.342465753,2
0.342465753,2
0.342465753,1
0.342465753,3
0.342465753,3
0.342465753,3
0.342465753,3
