TQ,DI
0.342465753,3
0.337078652,3
0.301369863,3
0.301369863,3
0.301369863,3
0.301369863,3
0.301369863,3
0.301369863,3
0.301369863,3
0.301369863,3
0.337078652,3
0.317808219,3
0.317808219,3
0.317808219,3
0.317808219,2
0.317808219,2
0.317808219,2
0.317808219,2
0.317808219,2
0.317808219,2
0.317808219,2
0.326027397,2
0.326027397,2
0.301369863,3
0.301369863,3
0.301369863,3
0.301369863,3
0.380821918,2
0.345205479,1
0.279452055,1
0.24109589,1
0.194520548,1
0.295890411,2
0.194520548,3
0.197260274,1
0.301369863,3
0.301369863,3
0.345205479,1
0.197260274,1
0.202739726,1
0.18630137,1
0.246575342,1
0.279452055,1
0.197260274,1
0.317808219,2
0.295890411,2
0.301369863,3
0.189041096,1
0.342465753,3
0.301369863,3
0.320547945,2
0.279452055,1
0.301369863,3
0.301369863,3
0.350684932,3
0.320547945,3
0.279452055,1
0.279452055,1
0.342465753,3
0.350684932,3
0.345205479,1
0.301369863,3
0.345205479,1
0.189041096,1
0.18630137,1
0.279452055,1
0.24109589,1
0.342465753,2
0.342465753,3
0.342465753,2
0.194520548,2
0.194520548,2
0.320547945,3
0.317808219,2
0.301369863,3
0.301369863,3
0.301369863,3
0.342465753,3
0.295890411,2
0.194520548,3
0.380821918,3
0.273972603,1
0.345205479,1
0.317808219,3
0.301369863,2
